Time - Plot 0	Amplitude - Plot 0	
2400,04	0,128799	
2400,03	0,128775	
2500,05	0,13244	
2500,06	0,132431	
2600,07	0,136141	
2700,1	0,139941	
2700,11	0,13998	
2799,94	0,143867	
2799,94	0,14387	
2899,98	0,147806	
2899,97	0,147817	
2999,99	0,151859	
3100,02	0,156005	
3100,02	0,15601	
3200,04	0,160236	
3200,04	0,160203	
3300,06	0,164541	
3400,1	0,168901	
3400,09	0,168935	
3499,93	0,17336	
3499,92	0,173373	
3599,95	0,177917	
3599,96	0,177953	
3699,98	0,182556	
3799,99	0,187253	
3799,99	0,187276	
3900,02	0,192072	
3900,03	0,192074	
4000,05	0,196974	
4000,05	0,196974	
4100,07	0,201917	
4200,1	0,207014	
4200,09	0,207017	
4299,95	0,212173	
4299,93	0,212175	
4399,98	0,217458	
4499,99	0,222814	
4499,99	0,222819	
4600,01	0,228278	
4600,02	0,228307	
4700,04	0,233858	
4700,03	0,233857	
4800,06	0,239552	
4900,09	0,245333	
4900,08	0,245333	
5000,12	0,251222	
5000,11	0,25121	
5099,96	0,257273	
5099,95	0,257247	
5199,97	0,263409	
5300	0,269659	
5300	0,269687	
5400,02	0,276057	
5400,02	0,276093	
5500,05	0,282629	
5600,08	0,28926	
5600,07	0,289315	
5700,1	0,296083	
5700,1	0,296118	
5800,13	0,303079	
5800,13	0,303129	
5899,97	0,310231	
5999,98	0,317504	
5999,98	0,3175	
6100,01	0,324912	
6100,01	0,324923	
6200,04	0,332544	
6200,04	0,332585	
6300,07	0,340366	
6400,07	0,34834	
6400,09	0,34839	
6500,11	0,356568	
6500,11	0,356566	
6599,95	0,364916	
6699,98	0,373508	
6699,97	0,373535	
6799,99	0,382302	
6799,99	0,38235	
6900,03	0,391342	
6900,02	0,391418	
7000,04	0,400631	
7100,07	0,410148	
7100,07	0,410171	
7200,1	0,419957	
7200,1	0,419986	
7300,12	0,429984	
7399,96	0,440246	
7399,95	0,440323	
7499,98	0,450908	
7499,98	0,450983	
7600,01	0,461803	
7600,01	0,461908	
7700,03	0,473042	
7800,06	0,484557	
7800,07	0,484675	
7900,08	0,496523	
7900,08	0,496587	
8000,11	0,508744	
8100,13	0,521352	
8100,13	0,521465	
8199,98	0,534359	
8199,97	0,534459	
8299,99	0,547743	
8400,01	0,561497	
8400,03	0,561627	
8500,04	0,575791	
8500,04	0,575926	
8600,07	0,590472	
8600,06	0,590638	
8700,08	0,605759	
8800,11	0,621341	
8800,11	0,621436	
8900,14	0,637489	
8900,14	0,637612	
8999,97	0,654139	
9100,01	0,671218	
9100	0,671429	
9200,02	0,689027	
9200,02	0,689183	
9300,06	0,70736	
9400,09	0,72623	
9400,09	0,726434	
9500,1	0,74578	
9500,1	0,745983	
9600,14	0,765943	
9600,12	0,766182	
9699,97	0,786824	
9799,98	0,807999	
9799,99	0,808267	
9900,01	0,830052	
9900	0,830374	
10000	0,853043	
10100,1	0,876134	
10100,1	0,876415	
10200,1	0,900133	
10200,1	0,900367	
10300,1	0,924863	
10400,1	0,949589	
10400,1	0,950009	
10500	0,975258	
10500	0,975657	
10600	1,00164	
10700	1,02786	
10700	1,02818	
10800,1	1,05467	
10800,1	1,055	
10900,1	1,08204	
11000,1	1,10895	
11000,1	1,10935	
11100,1	1,13609	
11100,1	1,13645	
