Time - Plot 0	Amplitude - Plot 0	
2300	0,0792923	
2300	0,079339	
2400,03	0,0815784	
2500,06	0,0839086	
2500,06	0,0839288	
2600,08	0,0862415	
2600,08	0,0862712	
2700,11	0,08873	
2799,95	0,091182	
2799,94	0,0911943	
2899,97	0,0937219	
2899,97	0,0937289	
2999,99	0,0963347	
3100,02	0,0990087	
3100,01	0,0989849	
3200,05	0,101716	
3200,03	0,101709	
3300,07	0,104435	
3400,08	0,107257	
3400,09	0,107258	
3499,92	0,110073	
3499,93	0,110093	
3599,95	0,113002	
3699,98	0,11599	
3699,97	0,115985	
3800,01	0,119007	
3800,01	0,119016	
3900,02	0,122103	
4000,05	0,125229	
4000,05	0,125257	
4100,08	0,128442	
4100,07	0,128424	
4200,11	0,13169	
4299,94	0,135028	
4299,94	0,135018	
4399,97	0,138395	
4399,96	0,138406	
4499,99	0,141867	
4600,01	0,145401	
4600,01	0,145386	
4700,03	0,148954	
4700,03	0,148948	
4800,05	0,152633	
4800,06	0,152653	
4900,09	0,156432	
5000,12	0,160195	
5000,12	0,160266	
5099,95	0,164114	
5099,95	0,164108	
5199,98	0,168076	
5300	0,172175	
5300	0,17216	
5400,03	0,176328	
5400,03	0,176311	
5500,05	0,18055	
5600,07	0,184911	
5600,07	0,184927	
5700,1	0,189301	
5700,1	0,189332	
5800,12	0,193886	
5800,13	0,193881	
5899,97	0,198523	
5999,98	0,203303	
5999,98	0,203327	
6100,01	0,208193	
6100	0,208175	
6200,03	0,213179	
6300,05	0,218304	
6300,06	0,218283	
6400,09	0,223524	
6400,09	0,223606	
6500,1	0,228902	
6599,96	0,234425	
6599,94	0,234438	
6699,97	0,240095	
6699,98	0,240165	
6800	0,245982	
6900,02	0,251968	
6900,02	0,25196	
7000,05	0,258097	
7000,05	0,258115	
7100,07	0,264461	
7123,76	0,26459	
7200,1	0,271008	
7300,11	0,277649	
7300,12	0,277697	
7399,96	0,284606	
7499,98	0,291727	
7499,97	0,29176	
7600	0,299056	
7600,01	0,299137	
7700,02	0,306689	
7800,06	0,314484	
7800,06	0,314535	
7900,08	0,322595	
7900,08	0,322624	
8000,11	0,330925	
8100,13	0,339543	
8100,12	0,339595	
8199,96	0,348484	
8199,96	0,348521	
8299,99	0,357718	
8300	0,357787	
8400,01	0,367366	
8500,04	0,377219	
8500,04	0,377285	
8600,07	0,387526	
8600,07	0,38758	
8700,09	0,398245	
8800,11	0,409262	
8800,12	0,409325	
8900,14	0,420765	
8900,14	0,420837	
8999,98	0,432778	
9099,99	0,445124	
9099,99	0,445171	
9200,03	0,457995	
9200,03	0,458129	
9300,05	0,471538	
9400,09	0,485432	
9400,08	0,485564	
9500,1	0,500001	
9500,1	0,500138	
9600,12	0,515213	
9699,96	0,530922	
9699,97	0,531131	
9799,98	0,54738	
9799,99	0,547595	
9900,01	0,564564	
10000	0,582364	
10000	0,58267	
10100,1	0,60108	
10100,1	0,6013	
10200,1	0,620473	
10300,1	0,640425	
10300,1	0,640845	
10400,1	0,661507	
10400,1	0,661793	
10500	0,683205	
10500	0,683553	
10600	0,70595	
10700	0,728962	
10700	0,729378	
10800	0,753033	
10800	0,753451	
10900,1	0,777838	
11000,1	0,803051	
11000,1	0,803505	
11100,1	0,829008	
11100,1	0,829547	
11200,1	0,855363	
11300	0,881589	
11300	0,882107	
11400	0,908171	
11400	0,908655	
11500	0,934514	
11600	0,960015	
11600,1	0,960493	
11700,1	0,985035	
11700,1	0,985296	
11800,1	1,00859	
11900,1	1,03064	
11900,1	1,03088	
12000,1	1,0508	
12000,2	1,05097	
12100	1,06871	
12200	1,08396	
12200	1,08407	
12300	1,09639	
12300,1	1,09636	
12400,1	1,10581	
12500,2	1,11188	
12500,1	1,11188	
12600,1	1,11483	
12600,1	1,11482	
12700,1	1,11466	
12700,1	1,11455	
12800	1,11133	
12900	1,10512	
12900	1,10511	
13000	1,09616	
13003,5	1,09427	
13100,1	1,08509	
13200,1	1,07176	
13200,1	1,07186	
13300,1	1,05675	
13300,5	1,05702	
13400,1	1,0407	
13500,2	1,02288	
13500,2	1,02321	
13600	1,00452	
13700	0,98529	
13700	0,985816	
13800	0,965965	
13800	0,966404	
13900,1	0,946287	
13900,1	0,946721	
14000,1	0,926776	
14100,1	0,906673	
14100,1	0,907045	
14200,1	0,887028	
14200,1	0,887513	
14300,2	0,867698	
14400	0,848449	
14400	0,848935	
14500	0,829866	
14500	0,830312	
14600	0,811611	
14700,1	0,793635	
14700,1	0,794097	
14800,1	0,7764	
14800,1	0,776725	
14900,1	0,759486	
15000,1	0,742884	
15000,2	0,743279	
15100,2	0,727085	
15100,2	0,727361	
15200	0,711687	
15300	0,696583	
15300	0,696908	
15400,1	0,68214	
15400,1	0,682408	
15500,1	0,668188	
15600,1	0,654516	
15600,1	0,654752	
15700,1	0,641414	
15700,1	0,641676	
15800,2	0,628831	
15900	0,616483	
15900	0,616622	
16000	0,604667	
16000	0,604791	
16100	0,593239	
16200,1	0,582072	
16200,1	0,582195	
16300,1	0,571395	
16300,1	0,571555	
16400,1	0,561034	
16400,1	0,561189	
16500,2	0,551085	
16600,2	0,541269	
16600,2	0,541415	
16700	0,532002	
16700	0,532101	
16800	0,52291	
16900,1	0,514069	
16900,1	0,514187	
17000,1	0,505582	
17000,1	0,505677	
17100,1	0,497373	
17100,1	0,497425	
17200,1	0,489443	
17300,1	0,481651	
17300,2	0,481709	
17400,2	0,474163	
17400,2	0,474209	
17500	0,466911	
17600	0,45978	
17600	0,459829	
17700,1	0,452966	
17700,1	0,453032	
17800,1	0,446334	
17800,1	0,446406	
17900,1	0,439906	
18000,1	0,433632	
18000,1	0,433662	
18100,2	0,42752	
18100,2	0,427582	
18200,2	0,421615	
18300	0,415849	
18300	0,415853	
18400,1	0,41026	
18400,1	0,410292	
18500,1	0,404828	
18500,1	0,40483	
18600,1	0,399529	
18700,1	0,394419	
18700,1	0,394387	
18800,2	0,389347	
18800,1	0,389391	
18900,2	0,384456	
18900,2	0,384476	
19000	0,379754	
19100	0,375069	
19100	0,375119	
19200,1	0,370554	
19200,1	0,370605	
19300,1	0,366148	
19400,1	0,361854	
19400,1	0,361868	
19500,1	0,357628	
19500,1	0,357638	
19600,2	0,353559	
19600,2	0,353551	
19700,2	0,34953	
19800	0,345637	
19800	0,34565	
19900	0,341789	
19900,1	0,341857	
20000,1	0,338134	
20100,1	0,334458	
20100,1	0,334495	
20200,1	0,330886	
20200,1	0,330925	
20300,1	0,327437	
20300,1	0,327463	
20400,2	0,32405	
20500,2	0,320746	
20500,2	0,3207	
20600	0,31742	
20600	0,317453	
20700,1	0,314258	
20700,1	0,314268	
20800,1	0,311108	
20900,1	0,308066	
20900,1	0,308106	
21000,1	0,305078	
21000,1	0,305153	
