Time - Plot 0	Amplitude - Plot 0	
2300,01	2,36839	
2400,02	2,36829	
2400,04	2,36847	
2500,05	2,36812	
2500,06	2,36814	
2600,08	2,36789	
2700,11	2,36745	
2700,11	2,36732	
2799,95	2,36724	
2799,94	2,36715	
2899,96	2,3668	
3000	2,3666	
2999,99	2,36674	
3100,02	2,36617	
3100,01	2,36637	
3200,05	2,36595	
3300,07	2,36572	
3300,07	2,36579	
3400,09	2,36535	
3400,09	2,36535	
3499,93	2,36504	
3599,95	2,36467	
3599,95	2,36443	
3699,98	2,36418	
3699,97	2,36445	
3800,01	2,36389	
3900,04	2,36349	
3900,03	2,36328	
4000,04	2,36305	
4000,06	2,36309	
4100,08	2,36272	
4200,11	2,3622	
4200,1	2,36221	
4299,94	2,36163	
4299,94	2,3617	
4399,97	2,36125	
4499,99	2,36067	
4499,98	2,36078	
4600,02	2,36023	
4600,02	2,36037	
4700,03	2,3599	
4800,07	2,35942	
4800,06	2,35923	
4900,08	2,35856	
4900,08	2,35869	
5000,11	2,3582	
5099,95	2,35756	
5099,95	2,35749	
5199,97	2,35702	
5199,97	2,35691	
5299,99	2,35623	
5400,03	2,3555	
5400,03	2,35572	
5500,05	2,35494	
5500,05	2,35484	
5600,08	2,3543	
5700,1	2,35346	
5700,1	2,35339	
5800,12	2,35273	
5800,12	2,35247	
5899,96	2,35195	
5999,98	2,35093	
5999,99	2,35081	
6100,01	2,35005	
6200,04	2,34921	
6200,04	2,34887	
6300,06	2,34805	
6300,05	2,34815	
6400,09	2,34707	
6400,09	2,34719	
6500,1	2,34619	
6599,95	2,3451	
6599,94	2,34513	
6699,97	2,34398	
6699,97	2,344	
6799,99	2,3427	
6900,02	2,34143	
6900,02	2,34155	
7000,04	2,34031	
7000,05	2,34017	
7100,07	2,33904	
7200,09	2,33752	
7200,09	2,33744	
7300,12	2,33599	
7300,12	2,33613	
7399,96	2,33428	
7499,98	2,33282	
7499,98	2,33311	
7600,01	2,33102	
7600,01	2,33118	
7700,03	2,32922	
7800,06	2,32731	
7800,05	2,32733	
7900,09	2,32521	
7900,08	2,32536	
8000,1	2,32306	
8100,13	2,32069	
8100,14	2,32092	
8199,96	2,3185	
8199,96	2,31848	
8300	2,31595	
8400,02	2,31319	
8400,02	2,31305	
8500,04	2,31044	
8500,05	2,3103	
8600,08	2,30706	
8700,09	2,30395	
8700,08	2,30392	
8800,11	2,30052	
8800,11	2,30044	
8900,14	2,29677	
8999,98	2,29264	
8999,98	2,29278	
9100	2,28859	
9100	2,28877	
9200,03	2,284	
9300,04	2,27938	
9300,05	2,27917	
9400,09	2,27404	
9400,06	2,27402	
9500,1	2,26845	
9600,12	2,26237	
9600,13	2,26244	
9699,97	2,25606	
9699,96	2,25582	
9799,99	2,24885	
9900,01	2,24151	
9900,01	2,24117	
10000	2,23298	
10000	2,23288	
10100,1	2,22395	
10200,1	2,21421	
10200,1	2,21401	
10300,1	2,20357	
10300,1	2,20366	
10400,1	2,19193	
10500	2,17957	
10500	2,17937	
10600	2,16576	
10600	2,16549	
10700	2,15061	
10800	2,13426	
10800	2,13423	
10900,1	2,11653	
10900,1	2,11633	
11000,1	2,09696	
11100,1	2,07572	
11100,1	2,07542	
11200,1	2,05258	
11200,2	2,0523	
11300	2,02733	
11400	2,00065	
11400	2,00027	
11500	1,97191	
11600	1,94194	
11600,1	1,94119	
11700,1	1,90982	
11700,1	1,90941	
11800,1	1,87705	
11900,1	1,84494	
11900,1	1,84434	
12000,1	1,81344	
12000,2	1,81297	
12100	1,78388	
12200	1,75815	
12200	1,75763	
12300	1,73685	
12300	1,73681	
12400,1	1,72196	
12500,1	1,71388	
12500,1	1,71428	
12600,1	1,71379	
12600,1	1,71375	
12700,1	1,72068	
12800	1,73455	
12800	1,73454	
12900	1,75455	
12900	1,75447	
13000	1,77906	
13100	1,80719	
13100	1,80688	
13200,1	1,83772	
13200,1	1,83734	
13300,1	1,86896	
13400,1	1,90069	
13400,1	1,90049	
13500,2	1,93224	
13500,2	1,93159	
13600	1,96208	
13700	1,99118	
13700	1,99082	
13800	2,01838	
13800	2,01808	
13900,1	2,04399	
14000,1	2,06813	
14000,1	2,06767	
14100,1	2,09023	
14100,1	2,08984	
14200,1	2,1106	
14300,1	2,12983	
14300,1	2,12955	
14400	2,14708	
14400	2,14696	
14500	2,16328	
14600,1	2,17807	
14600,1	2,17777	
14700,1	2,19162	
14700,1	2,19136	
14800,1	2,20402	
14900,1	2,21545	
14900,1	2,21528	
15000,1	2,22601	
15000,1	2,22577	
15100,2	2,23569	
15200	2,24475	
15200	2,24456	
15300	2,25302	
15300	2,25286	
15400,1	2,26061	
15500,1	2,26781	
15500,1	2,26757	
15600,1	2,274	
15600,1	2,27403	
15700,1	2,28016	
15800,2	2,28577	
15800,1	2,28569	
15900	2,29093	
15993,9	2,28783	
16000	2,29568	
16100	2,3001	
16100	2,29995	
16200,1	2,30417	
16300,1	2,30805	
16300,1	2,30798	
16400,1	2,31165	
16400,1	2,31181	
16500,2	2,31516	
16574,1	2,29458	
16600,2	2,31843	
16700	2,32128	
16700	2,32116	
16800	2,32399	
16800,2	2,32378	
16900,1	2,32664	
17000,1	2,32916	
17000,1	2,32907	
17100,1	2,33129	
17100,1	2,33146	
17200,1	2,33343	
17300,2	2,33542	
17300,2	2,33558	
17400,2	2,33739	
17500	2,33922	
17500	2,33925	
17600,1	2,34104	
17600	2,3409	
17700,1	2,34267	
17800,1	2,34422	
17800,1	2,34417	
17900,1	2,34567	
17900,1	2,34547	
18000,1	2,34686	
18100,2	2,34805	
18100,2	2,34826	
18200,2	2,34931	
18200,2	2,34937	
18300	2,35061	
18400,1	2,35173	
18400	2,35163	
18500,1	2,35255	
18500,1	2,35268	
18600,1	2,35381	
18700,1	2,35452	
18700,1	2,35476	
18800,2	2,35551	
18800,2	2,35566	
18900,2	2,35666	
19000	2,35734	
19000	2,35726	
19100	2,35829	
19100	2,35833	
19200,1	2,35891	
19300,1	2,35969	
19300,1	2,35968	
19400,1	2,36064	
19400,1	2,36024	
19500,1	2,36092	
19600,2	2,36148	
19600,2	2,36157	
19700,2	2,3622	
19700,2	2,36197	
19800	2,36274	
19900	2,36328	
19900,1	2,3632	
20000,1	2,3637	
20000,1	2,36341	
20100,1	2,3643	
20200,1	2,36483	
20200,1	2,36469	
20300,1	2,36525	
20300,1	2,36512	
20400,2	2,36571	
20500,2	2,3661	
20500,2	2,36606	
20600	2,36651	
20600	2,36653	
20700,1	2,36693	
20800,1	2,3675	
20800,1	2,36719	
20900,1	2,36775	
20900,1	2,36792	
21000,1	2,36823	
21100,2	2,3685	
21100,2	2,36831	
21200,2	2,36886	
21200,2	2,36882	
21300,2	2,36915	
21400,1	2,36947	
21400,1	2,36964	
21500,1	2,36981	
21500,1	2,36979	
21600,1	2,37027	
21700,1	2,37042	
21700,1	2,3705	
21800,2	2,37067	
21800,1	2,37059	
21900,2	2,37079	
22000,2	2,37113	
22000,2	2,37117	
22100	2,37141	
22100	2,37135	
22200,1	2,37143	
22300,1	2,37168	
22300,1	2,37165	
22400,1	2,37193	
22400,1	2,37211	
22500,1	2,37236	
22600,2	2,37243	
22600,2	2,37249	
22700,2	2,37259	
22700,2	2,37258	
22800,2	2,37301	
22900	2,37287	
