Time - Plot 0	Amplitude - Plot 0	
5000,12	0,251138	
5000,11	0,251187	
5000,1	0,251194	
5000,11	0,251176	
5000,11	0,25121	
5000,1	0,251188	
5000,11	0,251197	
5000,11	0,251203	
5000,1	0,25123	
5000,1	0,251217	
5000,11	0,251228	
5000,11	0,251234	
5000,11	0,251232	
5000,11	0,251244	
5000,11	0,251253	
5000,1	0,251213	
5000,12	0,251242	
5000,11	0,251223	
5000,12	0,251246	
5000,11	0,251245	
5000,1	0,251271	
5000,11	0,251207	
5000,12	0,251243	
5000,1	0,251258	
5000,11	0,251252	
5000,12	0,25122	
5000,11	0,251244	
5000,11	0,251226	
5000,1	0,251216	
5000,11	0,251238	
5000,11	0,251227	
5000,11	0,251242	
5000,12	0,251229	
5000,11	0,251237	
5000,1	0,251227	
5000,11	0,251255	
5000,12	0,25125	
5000,11	0,251266	
5000,12	0,251268	
5000,11	0,251272	
5000,1	0,251247	
5000,12	0,251245	
5000,12	0,251242	
5000,11	0,25126	
5000,12	0,251228	
5000,11	0,251277	
5000,11	0,251233	
5000,11	0,251254	
5000,12	0,251237	
5000,1	0,25124	
5000,12	0,251243	
5000,1	0,251278	
5000,11	0,25129	
5000,12	0,251243	
5000,11	0,251291	
5000,11	0,251247	
5000,11	0,251241	
5000,11	0,251253	
5000,11	0,251269	
5000,11	0,251258	
5000,11	0,251245	
5000,12	0,251266	
5000,11	0,25128	
5000,11	0,251309	
5000,09	0,251284	
5000,12	0,251296	
5000,11	0,251277	
5000,11	0,25129	
5000,11	0,251288	
5000,12	0,251288	
5000,11	0,251272	
5000,11	0,251291	
5000,1	0,251272	
5000,1	0,251262	
5000,1	0,251309	
5000,1	0,251308	
5000,12	0,251307	
5000,11	0,251266	
5000,11	0,251305	
5000,12	0,25129	
5000,12	0,25129	
5000,11	0,251263	
5000,12	0,251297	
5000,1	0,251308	
5000,1	0,251311	
5000,11	0,251322	
5000,12	0,251295	
5000,1	0,251291	
5000,11	0,251339	
5000,11	0,251253	
5000,12	0,251304	
5000,12	0,251307	
5000,11	0,251287	
5000,12	0,251301	
5000,11	0,251355	
5000,11	0,251292	
5000,12	0,251284	
5000,12	0,251325	
5000,11	0,251324	
5000,1	0,251306	
5000,1	0,251343	
5000,12	0,251309	
5000,11	0,25136	
5000,11	0,25134	
5000,11	0,251304	
5000,1	0,251315	
5000,11	0,251322	
5000,12	0,251339	
5000,11	0,251347	
5000,11	0,251294	
5000,11	0,251328	
5000,11	0,251366	
5000,1	0,251331	
5000,11	0,251299	
5000,1	0,251337	
5000,1	0,251288	
5000,12	0,251318	
5000,11	0,251341	
5000,11	0,25135	
5000,1	0,251326	
5000,11	0,251336	
5000,11	0,251353	
5000,11	0,251281	
5000,12	0,25135	
5000,1	0,251331	
5000,1	0,25135	
5000,11	0,251347	
5000,11	0,251348	
5000,11	0,251344	
5000,09	0,251315	
5000,11	0,251358	
5000,11	0,251332	
5000,11	0,25137	
5000,12	0,25136	
5000,11	0,251366	
5000,11	0,251319	
5000,12	0,251354	
5000,11	0,251348	
5000,11	0,251327	
5000,12	0,251367	
5000,13	0,251329	
5000,11	0,251324	
5000,1	0,25135	
5000,11	0,251337	
5000,1	0,251336	
5000,11	0,251339	
5000,1	0,251365	
5000,11	0,251321	
5000,1	0,251334	
5000,12	0,251324	
5000,11	0,251324	
5000,11	0,251327	
5000,11	0,251342	
5000,12	0,251355	
5000,11	0,251346	
5000,12	0,251308	
5000,11	0,251338	
5000,1	0,251322	
5000,11	0,251333	
5000,1	0,251308	
5000,11	0,25136	
5000,11	0,251345	
5000,11	0,251329	
5000,11	0,251345	
5000,1	0,251301	
5000,1	0,251329	
5000,12	0,251309	
5000,1	0,251312	
5000,11	0,25131	
5000,11	0,251322	
5000,11	0,251295	
5000,11	0,251329	
5000,12	0,251315	
5000,11	0,251307	
5000,11	0,251305	
5000,12	0,251327	
5000,11	0,251293	
5000,12	0,251323	
5000,11	0,251311	
5000,11	0,251318	
5000,11	0,251292	
5000,11	0,251265	
5000,11	0,251322	
5000,11	0,251297	
5000,12	0,251289	
5000,12	0,251294	
5000,11	0,251287	
5000,11	0,2513	
5000,11	0,251266	
5000,11	0,251297	
5000,12	0,251309	
5000,11	0,251297	
5000,11	0,251269	
5000,12	0,251299	
5000,11	0,251289	
5000,12	0,251292	
5000,12	0,251272	
5000,11	0,251279	
5000,13	0,251302	
5000,11	0,251286	
5000,12	0,25131	
5000,11	0,251293	
5000,12	0,251273	
5000,11	0,251292	
5000,11	0,251293	
5000,11	0,251296	
5000,11	0,251264	
5000,11	0,251288	
5000,1	0,251273	
5000,11	0,251313	
5000,11	0,251312	
5000,12	0,251308	
5000,11	0,251308	
5000,12	0,251248	
5000,11	0,25126	
5000,11	0,251301	
5000,12	0,251281	
5000,11	0,251284	
5000,12	0,251267	
5000,11	0,251287	
5000,12	0,251287	
5000,11	0,251298	
5000,12	0,251279	
5000,11	0,251282	
5000,11	0,251299	
5000,11	0,251289	
5000,1	0,25128	
5000,11	0,251305	
5000,11	0,251271	
5000,12	0,251284	
5000,11	0,25129	
5000,11	0,251284	
5000,11	0,251275	
