Time - Plot 0	Amplitude - Plot 0	
5000,12	2,05227	
5000,11	2,0529	
5000,1	2,05255	
5000,11	2,05234	
5000,11	2,05236	
5000,1	2,05249	
5000,11	2,05246	
5000,11	2,05282	
5000,1	2,05225	
5000,1	2,05223	
5000,11	2,05248	
5000,11	2,05223	
5000,11	2,05238	
5000,11	2,05245	
5000,11	2,05245	
5000,1	2,05254	
5000,12	2,05276	
5000,11	2,05255	
5000,12	2,05256	
5000,11	2,05242	
5000,1	2,05252	
5000,11	2,05242	
5000,12	2,05252	
5000,1	2,05247	
5000,11	2,05238	
5000,12	2,05252	
5000,11	2,0522	
5000,11	2,05253	
5000,1	2,05229	
5000,11	2,05253	
5000,11	2,0525	
5000,11	2,05231	
5000,12	2,05247	
5000,11	2,05218	
5000,1	2,05226	
5000,11	2,05223	
5000,12	2,05251	
5000,11	2,05242	
5000,12	2,05276	
5000,11	2,05225	
5000,1	2,05239	
5000,12	2,05234	
5000,12	2,05247	
5000,11	2,05251	
5000,12	2,05257	
5000,11	2,05235	
5000,11	2,05239	
5000,11	2,05246	
5000,12	2,05274	
5000,1	2,05245	
5000,12	2,05235	
5000,1	2,05229	
5000,11	2,05234	
5000,12	2,05241	
5000,11	2,05279	
5000,11	2,05247	
5000,11	2,05225	
5000,11	2,0523	
5000,11	2,05231	
5000,11	2,05237	
5000,11	2,05223	
5000,12	2,05233	
5000,11	2,05239	
5000,11	2,05216	
5000,09	2,05215	
5000,12	2,05249	
5000,11	2,05237	
5000,11	2,05221	
5000,11	2,05218	
5000,12	2,05251	
5000,11	2,05244	
5000,11	2,05217	
5000,1	2,05229	
5000,1	2,05227	
5000,1	2,05226	
5000,1	2,05222	
5000,12	2,05223	
5000,11	2,05218	
5000,11	2,05202	
5000,12	2,05225	
5000,12	2,05221	
5000,11	2,05225	
5000,12	2,0524	
5000,1	2,05229	
5000,1	2,05212	
5000,11	2,05199	
5000,12	2,05227	
5000,1	2,05229	
5000,11	2,05231	
5000,11	2,05229	
5000,12	2,05221	
5000,12	2,05223	
5000,11	2,05225	
5000,12	2,05243	
5000,11	2,0521	
5000,11	2,05244	
5000,12	2,05247	
5000,12	2,05218	
5000,11	2,05208	
5000,1	2,05215	
5000,1	2,05207	
5000,12	2,05208	
5000,11	2,05227	
5000,11	2,05224	
5000,11	2,05219	
5000,1	2,05222	
5000,11	2,05217	
5000,12	2,0522	
5000,11	2,05214	
5000,11	2,05231	
5000,11	2,05211	
5000,11	2,05253	
5000,1	2,05201	
5000,11	2,05211	
5000,1	2,05217	
5000,1	2,05203	
5000,12	2,05216	
5000,11	2,05195	
5000,11	2,05212	
5000,1	2,05218	
5000,11	2,05229	
5000,11	2,05227	
5000,11	2,05227	
5000,12	2,05205	
5000,1	2,05212	
5000,1	2,05224	
5000,11	2,05255	
5000,11	2,05207	
5000,11	2,05211	
5000,09	2,05197	
5000,11	2,05252	
5000,11	2,05209	
5000,11	2,05218	
5000,12	2,05254	
5000,11	2,05229	
5000,11	2,05203	
5000,12	2,05228	
5000,11	2,05228	
5000,11	2,05192	
5000,12	2,05216	
5000,13	2,0524	
5000,11	2,05219	
5000,1	2,05229	
5000,11	2,05224	
5000,1	2,05207	
5000,11	2,05231	
5000,1	2,052	
5000,11	2,05208	
5000,1	2,05211	
5000,12	2,05224	
5000,11	2,05236	
5000,11	2,05218	
5000,11	2,05256	
5000,12	2,05256	
5000,11	2,05221	
5000,12	2,05226	
5000,11	2,05224	
5000,1	2,05228	
5000,11	2,05217	
5000,1	2,05249	
5000,11	2,05274	
5000,11	2,05269	
5000,11	2,05232	
5000,11	2,0522	
5000,1	2,05221	
5000,1	2,05227	
5000,12	2,05236	
5000,1	2,05235	
5000,11	2,05267	
5000,11	2,05224	
5000,11	2,05216	
5000,11	2,05236	
5000,12	2,05273	
5000,11	2,05232	
5000,11	2,05217	
5000,12	2,05225	
5000,11	2,05216	
5000,12	2,05223	
5000,11	2,05224	
5000,11	2,05258	
5000,11	2,05219	
5000,11	2,05226	
5000,11	2,05224	
5000,11	2,05225	
5000,12	2,05249	
5000,12	2,05237	
5000,11	2,05217	
5000,11	2,05267	
5000,11	2,05218	
5000,11	2,05239	
5000,12	2,05235	
5000,11	2,05247	
5000,11	2,05235	
5000,12	2,05243	
5000,11	2,05256	
5000,12	2,0524	
5000,12	2,05259	
5000,11	2,0523	
5000,13	2,05243	
5000,11	2,0524	
5000,12	2,05246	
5000,11	2,05235	
5000,12	2,05251	
5000,11	2,05241	
5000,11	2,05246	
5000,11	2,05255	
5000,11	2,05255	
5000,11	2,05238	
5000,1	2,0524	
5000,11	2,05227	
5000,11	2,05239	
5000,12	2,05261	
5000,11	2,05234	
5000,12	2,05238	
5000,11	2,0522	
5000,11	2,05235	
5000,12	2,05233	
5000,11	2,05237	
5000,12	2,05235	
5000,11	2,05243	
5000,12	2,05252	
5000,11	2,05241	
5000,12	2,0522	
5000,11	2,0523	
5000,11	2,05241	
5000,11	2,05244	
5000,1	2,05204	
5000,11	2,0522	
5000,11	2,05236	
5000,12	2,05228	
5000,11	2,05259	
5000,11	2,05231	
5000,11	2,05234	
