Time - Plot 0	Amplitude - Plot 0	
5000,11	0,0453552	
5000,11	0,0453072	
5000,1	0,0453116	
5000,11	0,0453388	
5000,1	0,0452846	
5000,11	0,0453321	
5000,12	0,0453204	
5000,11	0,0453349	
5000,12	0,0453176	
5000,11	0,0453327	
5000,12	0,045325	
5000,11	0,0453462	
5000,11	0,0453489	
5000,11	0,0453204	
5000,13	0,0453661	
5000,12	0,0453409	
5000,11	0,0453338	
5000,12	0,045351	
5000,12	0,0453573	
5000,11	0,0453131	
5000,11	0,0453271	
5000,11	0,0453294	
5000,11	0,0453224	
5000,11	0,045321	
5000,11	0,0453579	
5000,11	0,0453274	
5000,11	0,0453177	
5000,12	0,0453119	
5000,1	0,0453571	
5000,11	0,0453382	
5000,11	0,0453567	
5000,11	0,0453601	
5000,11	0,0453222	
5000,11	0,0453427	
5000,11	0,0453433	
5000,11	0,0453388	
5000,11	0,0453212	
5000,11	0,0453531	
5000,11	0,0453443	
5000,11	0,0453062	
5000,11	0,0453444	
5000,11	0,0453515	
5000,11	0,0453316	
5000,11	0,0453512	
5000,12	0,0453462	
5000,1	0,0453365	
5000,11	0,0453494	
5000,12	0,04531	
5000,11	0,0453168	
5000,11	0,0453375	
5000,12	0,0453218	
5000,12	0,0453058	
5000,11	0,0452984	
5000,12	0,0453381	
5000,11	0,0453167	
5000,11	0,045321	
5000,11	0,0453251	
5000,1	0,0453252	
5000,1	0,0453244	
5000,1	0,0453254	
5000,11	0,0453169	
5000,11	0,0453278	
5000,11	0,0453202	
5000,11	0,0453194	
5000,11	0,0453098	
5000,11	0,0453431	
5000,12	0,0453063	
5000,11	0,0453327	
5000,11	0,04532	
5000,1	0,0452995	
5000,11	0,0453222	
5000,11	0,0453429	
5000,12	0,0453184	
5000,11	0,0453267	
5000,11	0,0453204	
5000,11	0,0453319	
5000,11	0,045309	
5000,11	0,0453201	
5000,12	0,045327	
5000,11	0,0453299	
5000,11	0,0453148	
5000,1	0,0453144	
5000,1	0,0453236	
5000,11	0,0453163	
5000,12	0,0453091	
5000,11	0,0453251	
5000,11	0,0453119	
5000,11	0,0453261	
5000,12	0,0453458	
5000,11	0,0453292	
5000,11	0,045332	
5000,11	0,0453425	
5000,11	0,0453306	
5000,11	0,0453013	
5000,11	0,0453418	
5000,11	0,0453208	
5000,11	0,0453371	
5000,11	0,0453403	
5000,11	0,0453215	
5000,12	0,0453186	
5000,11	0,0453525	
5000,11	0,0453316	
5000,11	0,045275	
5000,11	0,0453294	
5000,11	0,0453242	
5000,11	0,0453021	
5000,11	0,0453286	
5000,11	0,0453159	
5000,1	0,0453292	
5000,12	0,0453284	
5000,11	0,0453182	
5000,11	0,0453319	
5000,12	0,0453333	
5000,11	0,0453391	
5000,11	0,0453318	
5000,11	0,0453348	
5000,11	0,0453156	
5000,12	0,0453533	
5000,11	0,0453295	
5000,12	0,0453431	
5000,12	0,0453173	
5000,11	0,0453313	
