Time - Plot 0	Amplitude - Plot 0	
5000,11	2,41922	
5000,11	2,41907	
5000,1	2,41916	
5000,11	2,41911	
5000,1	2,41913	
5000,11	2,419	
5000,12	2,41919	
5000,11	2,41902	
5000,12	2,41925	
5000,11	2,41906	
5000,12	2,41923	
5000,11	2,41908	
5000,11	2,41926	
5000,11	2,41935	
5000,13	2,41929	
5000,12	2,41911	
5000,11	2,41924	
5000,12	2,41922	
5000,12	2,41929	
5000,11	2,41937	
5000,11	2,41917	
5000,11	2,41929	
5000,11	2,41938	
5000,11	2,41937	
5000,11	2,41933	
5000,11	2,41924	
5000,11	2,41917	
5000,12	2,41908	
5000,1	2,41892	
5000,11	2,41904	
5000,11	2,41918	
5000,11	2,41884	
5000,11	2,41923	
5000,11	2,41917	
5000,11	2,41907	
5000,11	2,41908	
5000,11	2,41941	
5000,11	2,41921	
5000,11	2,4193	
5000,11	2,41898	
5000,11	2,4192	
5000,11	2,41931	
5000,11	2,41917	
5000,11	2,41913	
5000,12	2,41912	
5000,1	2,41913	
5000,11	2,41924	
5000,12	2,41935	
5000,11	2,41946	
5000,11	2,41921	
5000,12	2,41935	
5000,12	2,41929	
5000,11	2,41926	
5000,12	2,41913	
5000,11	2,41943	
5000,11	2,41926	
5000,11	2,41894	
5000,1	2,41919	
5000,1	2,41912	
5000,1	2,41915	
5000,11	2,41923	
5000,11	2,41948	
5000,11	2,41917	
5000,11	2,41906	
5000,11	2,41905	
5000,11	2,4192	
5000,12	2,41918	
5000,11	2,41936	
5000,11	2,41903	
5000,1	2,41912	
5000,11	2,41905	
5000,11	2,41917	
5000,12	2,41914	
5000,11	2,41924	
5000,11	2,41923	
5000,11	2,41923	
5000,11	2,41928	
5000,11	2,41936	
5000,12	2,41941	
5000,11	2,4191	
5000,11	2,41933	
5000,1	2,41911	
5000,1	2,41914	
5000,11	2,41932	
5000,12	2,41929	
5000,11	2,41921	
5000,11	2,41908	
5000,11	2,41929	
5000,12	2,41947	
5000,11	2,41936	
5000,11	2,41903	
5000,11	2,41936	
5000,11	2,41955	
5000,11	2,41932	
5000,11	2,41933	
5000,11	2,41933	
5000,11	2,41949	
5000,11	2,41923	
5000,11	2,41928	
5000,12	2,4193	
5000,11	2,4193	
5000,11	2,41935	
5000,11	2,41922	
5000,11	2,41918	
5000,11	2,41927	
5000,11	2,4192	
5000,11	2,41909	
5000,11	2,41917	
5000,1	2,41923	
5000,12	2,41936	
5000,11	2,41918	
5000,11	2,41928	
5000,12	2,41935	
5000,11	2,41938	
5000,11	2,41926	
5000,11	2,41936	
5000,11	2,41928	
5000,12	2,41936	
5000,11	2,4194	
5000,12	2,41932	
5000,12	2,41918	
5000,11	2,41907	
5000,1	2,41914	
5000,11	2,41925	
5000,12	2,41936	
5000,12	2,41927	
5000,11	2,41934	
5000,1	2,4194	
5000,11	2,41922	
5000,12	2,41929	
5000,12	2,41926	
5000,12	2,41924	
5000,11	2,41917	
5000,11	2,41925	
5000,11	2,41922	
5000,1	2,41905	
5000,12	2,41937	
5000,11	2,41934	
5000,11	2,41915	
5000,1	2,41939	
5000,11	2,41935	
5000,12	2,4192	
5000,11	2,41921	
5000,11	2,41937	
5000,11	2,41929	
5000,11	2,41934	
5000,12	2,4194	
5000,11	2,41921	
5000,1	2,41917	
5000,11	2,41924	
5000,11	2,41927	
5000,12	2,41923	
5000,1	2,41916	
5000,12	2,41924	
5000,12	2,41913	
5000,11	2,4193	
5000,12	2,41893	
5000,1	2,41904	
5000,11	2,41912	
5000,11	2,41894	
5000,11	2,41921	
5000,11	2,41911	
5000,1	2,41925	
5000,11	2,4192	
5000,11	2,41906	
5000,11	2,41911	
5000,12	2,41931	
5000,11	2,41909	
5000,11	2,41913	
5000,11	2,41903	
5000,11	2,41918	
5000,12	2,4192	
5000,11	2,41915	
5000,1	2,41921	
5000,1	2,41944	
5000,11	2,41892	
5000,1	2,4192	
5000,11	2,41915	
5000,11	2,41924	
5000,11	2,41894	
5000,1	2,41903	
5000,12	2,41918	
5000,12	2,41914	
5000,11	2,41899	
5000,11	2,41903	
5000,1	2,41933	
5000,1	2,41917	
5000,12	2,41925	
5000,11	2,41915	
5000,1	2,41916	
5000,12	2,41936	
5000,11	2,41906	
5000,11	2,4192	
5000,11	2,41917	
5000,11	2,41921	
5000,11	2,41921	
5000,12	2,41941	
5000,11	2,41922	
5000,12	2,41921	
5000,11	2,41917	
5000,13	2,41942	
5000,11	2,41925	
5000,1	2,41925	
5000,12	2,41915	
5000,11	2,41919	
5000,11	2,41902	
5000,12	2,41923	
5000,11	2,41928	
5000,11	2,419	
5000,11	2,41924	
5000,11	2,41929	
5000,11	2,41939	
5000,11	2,41935	
5000,11	2,41923	
5000,11	2,41921	
5000,11	2,4193	
5000,11	2,41916	
5000,12	2,41911	
5000,11	2,41917	
5000,11	2,41912	
5000,11	2,4191	
5000,11	2,41922	
5000,13	2,41921	
5000,12	2,41922	
5000,12	2,41903	
5000,1	2,41911	
5000,11	2,41934	
5000,12	2,41905	
5000,12	2,41931	
5000,12	2,41919	
5000,11	2,41916	
5000,12	2,41944	
5000,12	2,41923	
5000,11	2,41919	
5000,11	2,41915	
5000,12	2,41937	
5000,11	2,41912	
5000,12	2,41908	
5000,11	2,41932	
5000,11	2,41931	
5000,12	2,4193	
5000,11	2,41915	
5000,11	2,41922	
5000,11	2,41929	
5000,1	2,41907	
5000,12	2,41904	
5000,12	2,41927	
5000,11	2,41936	
5000,11	2,41927	
5000,11	2,41933	
5000,11	2,41932	
5000,11	2,41927	
5000,11	2,4193	
5000,11	2,41913	
5000,11	2,4191	
5000,11	2,41918	
5000,1	2,41915	
5000,12	2,4192	
5000,11	2,41921	
5000,12	2,41931	
5000,11	2,41938	
5000,1	2,41923	
5000,11	2,41909	
5000,11	2,41914	
5000,11	2,41913	
5000,11	2,41923	
5000,11	2,41927	
5000,11	2,41934	
5000,12	2,41904	
5000,11	2,41918	
5000,1	2,41915	
5000,11	2,41937	
5000,1	2,41925	
5000,11	2,41921	
5000,11	2,41926	
5000,12	2,41926	
5000,11	2,41929	
5000,11	2,41928	
5000,11	2,4191	
5000,11	2,41931	
5000,1	2,41904	
5000,11	2,41917	
5000,11	2,41921	
5000,1	2,41911	
5000,11	2,41938	
5000,11	2,41936	
5000,1	2,41913	
5000,12	2,41919	
5000,12	2,41924	
5000,11	2,41922	
5000,11	2,41921	
5000,11	2,41917	
5000,11	2,41928	
5000,11	2,41916	
5000,11	2,41928	
5000,11	2,41939	
5000,11	2,41924	
5000,1	2,41928	
5000,11	2,41916	
5000,12	2,41934	
5000,11	2,41939	
5000,1	2,41927	
5000,1	2,41944	
5000,11	2,41929	
5000,11	2,41904	
5000,12	2,41948	
5000,11	2,41926	
5000,11	2,41926	
5000,11	2,41922	
5000,11	2,41923	
5000,12	2,41934	
5000,11	2,41927	
5000,11	2,41928	
5000,11	2,41914	
5000,12	2,4194	
5000,13	2,41925	
5000,11	2,41924	
5000,11	2,41907	
5000,12	2,41911	
5000,1	2,41909	
5000,11	2,41913	
