Time - Plot 0	Amplitude - Plot 0	
2400,03	0,236739	
2400,03	0,236737	
2500,05	0,243434	
2500,06	0,243446	
2600,08	0,250285	
2700,11	0,257251	
2700,1	0,257258	
2799,93	0,264383	
2799,94	0,264373	
2899,98	0,271625	
2999,99	0,279043	
2999,99	0,279077	
3100,02	0,286573	
3100,02	0,286634	
3200,04	0,29427	
3300,07	0,30207	
3300,06	0,302109	
3400,09	0,310027	
3400,1	0,310038	
3499,93	0,318057	
3599,96	0,326334	
3599,94	0,32634	
3699,98	0,334645	
3699,98	0,334697	
3800,01	0,343215	
3900,03	0,35188	
3900,03	0,351877	
4000,06	0,360649	
4000,05	0,360662	
4100,08	0,369592	
4200,1	0,378646	
4200,11	0,378715	
4299,94	0,387902	
4299,94	0,387952	
4399,97	0,39731	
4499,99	0,406851	
4499,98	0,406895	
4600,02	0,416595	
4600,02	0,416631	
4700,04	0,426489	
4800,06	0,436516	
4800,07	0,436538	
4900,09	0,446706	
4900,09	0,446769	
5000,12	0,457152	
5099,95	0,467702	
5099,95	0,467707	
5199,96	0,478464	
5199,97	0,47845	
5300	0,48945	
5400,01	0,500563	
5400,03	0,50054	
5500,05	0,511907	
5500,05	0,511902	
5600,07	0,523488	
5700,1	0,535179	
5700,1	0,535215	
5800,13	0,547175	
5800,12	0,547218	
5899,96	0,55933	
5999,99	0,571767	
5999,98	0,571773	
6100,01	0,584379	
6125,35	0,584279	
6200,04	0,597366	
6300,06	0,610486	
6300,06	0,610473	
6400,09	0,623854	
6500,11	0,637489	
6500,11	0,637538	
6599,95	0,651377	
6599,94	0,651445	
6699,98	0,665547	
6800	0,679991	
6799,99	0,680055	
6900,03	0,694682	
6900,03	0,694865	
7000,04	0,709804	
7100,07	0,725106	
7100,07	0,72514	
7200,09	0,740743	
7200,09	0,740857	
7300,12	0,756702	
7399,97	0,772911	
7399,97	0,773037	
7499,98	0,789544	
7499,98	0,789682	
7600,01	0,806499	
7700,04	0,823756	
7700,04	0,823907	
7800,05	0,841451	
7800,06	0,841608	
7900,08	0,859487	
8000,11	0,877836	
8000,1	0,87795	
8100,13	0,896552	
8100,13	0,896645	
8199,96	0,915569	
8300	0,934958	
8299,99	0,935113	
8400,02	0,954773	
8400,01	0,954936	
8500,04	0,974981	
8600,06	0,995406	
8600,07	0,995572	
8700,09	1,01635	
8700,1	1,01657	
8800,12	1,03764	
8900,14	1,05922	
8900,14	1,05946	
8999,98	1,08124	
8999,98	1,08144	
9099,99	1,10359	
9200,02	1,12621	
9200,01	1,12642	
9300,07	1,14927	
9300,06	1,14941	
9400,09	1,17252	
9500,11	1,1961	
9500,1	1,19628	
9600,12	1,21992	
9600,14	1,22011	
9699,97	1,24389	
9800,01	1,26808	
9799,99	1,26834	
9900,01	1,29251	
9900,01	1,29271	
10000	1,31701	
10100,1	1,3414	
10100,1	1,34167	
10200,1	1,36601	
10200,1	1,36618	
10300,1	1,39052	
10400,2	1,41483	
10400,1	1,41508	
10500	1,43908	
10500	1,43929	
10600	1,46299	
10700	1,48669	
10700	1,48677	
10800	1,50981	
10800,1	1,50998	
10900,1	1,53268	
11000,1	1,55476	
11000,1	1,55479	
11100,1	1,57627	
11100,1	1,57642	
11200,1	1,59706	
11300	1,61688	
11300	1,61699	
11400	1,63586	
11400	1,63593	
11500	1,65389	
11600,1	1,6709	
11600	1,67088	
11700,1	1,68662	
11700,1	1,68661	
11800,1	1,7012	
11900,1	1,7144	
11900,1	1,71432	
12000,1	1,72616	
12000,2	1,72627	
12100	1,73667	
12200	1,7457	
12200	1,74576	
12300	1,75336	
12300	1,75338	
12400,1	1,75948	
12500,2	1,76416	
12500,1	1,76404	
12600,1	1,76719	
12600,1	1,76734	
12700,1	1,76902	
12800	1,76922	
12800	1,76935	
12900	1,76825	
12900	1,76827	
13000	1,76589	
13100,1	1,76212	
13100	1,76226	
13200,1	1,7571	
13200,1	1,75732	
13300,1	1,75111	
13400,1	1,74389	
13400,1	1,74406	
13500,1	1,73566	
13500,2	1,73581	
13600	1,72648	
13700	1,71639	
13700	1,71661	
13800	1,7056	
13800	1,70576	
13900,1	1,69395	
14000,1	1,68166	
14000,1	1,68189	
14100,1	1,6688	
14100,1	1,66908	
14200,1	1,65546	
14300,1	1,64141	
14300,1	1,64169	
14400	1,62712	
14400	1,62751	
14500	1,61265	
14600,1	1,59751	
14600,1	1,59782	
14700,1	1,58244	
14700,1	1,58267	
14800,1	1,56708	
14900,1	1,55127	
14900,1	1,55162	
15000,2	1,53569	
15000,2	1,53596	
15100,2	1,52014	
15200	1,50403	
15200	1,5044	
15300	1,48834	
15300	1,48853	
15400,1	1,47271	
15500,1	1,45666	
15500,1	1,45695	
15600,1	1,44106	
15600,1	1,4413	
15700,1	1,42544	
15800,2	1,40975	
15800,2	1,41014	
15900	1,39452	
15900	1,39481	
16000	1,37957	
16100,1	1,36422	
16100,1	1,36442	
16200,1	1,34923	
16200,1	1,34951	
16300,1	1,33459	
16400,1	1,31977	
16400,1	1,32007	
16500,1	1,30543	
16500,2	1,30558	
16600,2	1,29114	
16700	1,27709	
16700	1,27732	
16800	1,2632	
16800	1,26343	
16900,1	1,24959	
17000,1	1,23611	
17000,1	1,23629	
17100,1	1,22283	
17100,1	1,22303	
17200,1	1,20973	
17300,2	1,19679	
17300,2	1,19701	
17400,2	1,18423	
17400,2	1,18442	
17500	1,17181	
17600	1,15949	
17600	1,15972	
17700,1	1,14749	
17700,1	1,14761	
17800,1	1,13577	
17900,1	1,12397	
17900,1	1,12417	
18000,1	1,11254	
18000,1	1,11276	
18100,2	1,10138	
18200,2	1,09024	
18200,2	1,09045	
18300	1,07944	
18300	1,07954	
18400	1,06888	
18500,1	1,05823	
18500,1	1,05837	
18600,1	1,04796	
18600,1	1,04808	
18700,1	1,03788	
18800,1	1,02779	
18800,2	1,02793	
18900,2	1,018	
18900,2	1,01811	
19000	1,0085	
19100	0,998936	
19100	0,999025	
19200,1	0,989596	
19200,1	0,989677	
19300,1	0,980526	
19400,1	0,971449	
19400,1	0,971521	
19500,1	0,962629	
19500,1	0,962708	
19600,2	0,953979	
19700,2	0,945268	
19700,2	0,945394	
19800	0,936959	
19800	0,937041	
19900,1	0,928752	
20000,1	0,920552	
20000,1	0,920543	
20100,1	0,912577	
20100,1	0,912567	
20200,1	0,904773	
20300,1	0,896996	
20300,2	0,89703	
20400,2	0,889318	
20400,2	0,889455	
20500,2	0,881924	
20600	0,874544	
20600	0,87456	
20700,1	0,867285	
20700,1	0,867373	
20800,1	0,86025	
20900,1	0,853172	
20900,1	0,853209	
21000,1	0,846246	
21000,9	0,845791	
21100,2	0,839454	
21200,2	0,832721	
21200,2	0,83283	
21300,2	0,826233	
21400,1	0,819719	
21400	0,819781	
21500,1	0,813375	
