Time - Plot 0	Amplitude - Plot 0	
2300,01	0,0224018	
2400,04	0,0230623	
2400,02	0,0230584	
2500,06	0,0237041	
2600,08	0,024369	
2600,08	0,0243513	
2700,11	0,0250637	
2700,1	0,0250718	
2799,95	0,0257421	
2899,97	0,0264855	
2899,97	0,0265058	
2999,99	0,0272291	
3000,01	0,0271997	
3100,02	0,027975	
3200,05	0,0287655	
3200,05	0,0287578	
3300,07	0,0295276	
3300,06	0,0295012	
3400,1	0,0303116	
3499,92	0,0311429	
3499,92	0,03116	
3599,95	0,0319683	
3599,95	0,0319544	
3699,98	0,0327842	
3800	0,0336739	
3800	0,0336771	
3900,03	0,0345292	
3900,03	0,0345558	
4000,05	0,0354266	
4100,08	0,0363804	
4100,07	0,0363356	
4200,11	0,0372982	
4200,11	0,0372532	
4299,94	0,0382568	
4399,97	0,0391883	
4399,96	0,0392022	
4499,99	0,0401926	
4500	0,0401907	
4600	0,0411819	
4600,02	0,0411824	
4700,04	0,0422242	
4800,07	0,0432704	
4800,06	0,0432157	
4900,09	0,0443262	
4900,08	0,0443296	
5000,12	0,0454115	
5099,91	0,0465151	
5099,95	0,0465252	
5199,99	0,0476564	
5199,98	0,0476341	
5300	0,0488476	
5300	0,0488286	
5400,01	0,0499893	
5500,05	0,0512196	
5500,05	0,0512438	
5600,07	0,0524985	
5600,06	0,0524825	
5700,1	0,0537568	
5800,13	0,0550656	
5800,12	0,0551191	
5899,96	0,056428	
5899,96	0,0564277	
5999,97	0,0577805	
6100,01	0,0591661	
6100,02	0,0591831	
6200,03	0,0606753	
6200,04	0,0606413	
6300,06	0,0621234	
6400,08	0,0635881	
6400,09	0,0635992	
6500,11	0,0651813	
6500,11	0,0651993	
6599,94	0,0667964	
6699,98	0,0684239	
6699,97	0,0684327	
6799,99	0,0701099	
6800	0,0701223	
6900,03	0,0718543	
7000,04	0,0736477	
7000,04	0,0736461	
7100,07	0,0755363	
7100,07	0,0755665	
7200,09	0,0774581	
7300,13	0,079412	
7300,12	0,0793948	
7399,97	0,0814275	
7399,97	0,0814642	
7499,98	0,083542	
7600	0,0856429	
7600	0,0857023	
7700,04	0,0879586	
7700,03	0,0879357	
7800,04	0,0902699	
7900,08	0,0926536	
7900,08	0,092666	
8000,11	0,0951157	
8000,1	0,095126	
8100,13	0,0977189	
8199,98	0,100386	
8199,97	0,100382	
8300	0,103178	
8299,99	0,103182	
8400,03	0,106055	
8500,04	0,1091	
8500,04	0,109058	
8600,06	0,112212	
8600,07	0,11218	
8700,1	0,115464	
8800,11	0,118836	
8800,12	0,118881	
8900,14	0,122426	
8900,14	0,122435	
8999,98	0,126115	
9100,01	0,130026	
9100,01	0,129969	
9200,01	0,134074	
9200,02	0,134036	
9300,05	0,138312	
9400,07	0,142746	
9400,07	0,142778	
9500,11	0,147451	
9591,91	0,151044	
9600,13	0,152385	
9699,96	0,157509	
9699,97	0,157568	
9799,98	0,162958	
9900,02	0,168726	
9900,02	0,168696	
10000	0,174784	
10000,1	0,174789	
10100,1	0,181179	
10200,1	0,187938	
10200,1	0,187969	
10300,1	0,195074	
10300,1	0,195111	
10400,1	0,202646	
10500	0,21067	
10500	0,210682	
10600	0,219161	
10600	0,219179	
10700	0,228149	
10800	0,237696	
10800,1	0,237708	
10900,1	0,247859	
10900,1	0,247845	
11000,1	0,258548	
11100,1	0,269836	
11100,1	0,269936	
11200,1	0,281856	
11200,2	0,281951	
11300	0,294441	
11400	0,307648	
11400	0,307785	
11500	0,321439	
11500	0,321547	
11600,1	0,335762	
11700,1	0,350334	
11700,1	0,350507	
11800,1	0,36523	
11800,1	0,365402	
11900,1	0,380079	
12000,1	0,394532	
12000,2	0,394675	
12100	0,408352	
12100	0,408446	
12200	0,421033	
12300	0,432103	
12300,1	0,432113	
12400,1	0,441149	
12400,1	0,441164	
12500,1	0,447827	
12600,1	0,451898	
12600,1	0,451884	
12700,2	0,453278	
12700,1	0,45321	
12800	0,451818	
12900	0,44783	
12900	0,447871	
13000	0,44165	
13000	0,441698	
13100,1	0,433591	
13200,1	0,42389	
13200,1	0,423988	
13300,1	0,413152	
13300,1	0,413215	
13400,1	0,401533	
13500,2	0,389461	
13500,2	0,389574	
13600	0,377241	
13600	0,37735	
13700	0,364943	
13800	0,352645	
13800	0,352827	
13900,1	0,340791	
13900,1	0,340894	
14000,1	0,329306	
14100,1	0,31801	
14100,1	0,318098	
14200,1	0,307304	
14200,1	0,307395	
14300,2	0,297066	
14400	0,287185	
14400	0,287268	
14500	0,277814	
14500	0,277886	
14600	0,268984	
14700,1	0,260428	
14700,1	0,260469	
14800,1	0,252378	
14900,1	0,244706	
14900,1	0,244737	
15000,2	0,237501	
15000,1	0,23751	
15100,2	0,230599	
15200	0,224055	
15200	0,22411	
15300	0,217856	
15300	0,217874	
15400,1	0,211954	
15500,1	0,206345	
15500,1	0,20637	
15600,1	0,201007	
15600,1	0,201023	
15700,1	0,195891	
15800,2	0,191094	
15800,2	0,191114	
15900	0,186488	
15900	0,186523	
16000	0,182107	
16100	0,177915	
16100	0,177946	
16200,1	0,17386	
16200,1	0,173901	
16300,1	0,170028	
16400,1	0,166365	
16400,1	0,166388	
16500,1	0,16289	
16500,1	0,162832	
16600,2	0,159503	
16700	0,156256	
16700	0,15622	
16800	0,153108	
16800	0,153164	
16900	0,150152	
17000,1	0,147332	
17000,1	0,147273	
17100,1	0,144534	
17100,1	0,144566	
17200,1	0,141967	
17300,2	0,139358	
17300,2	0,139382	
17400,2	0,13686	
17400,2	0,136901	
17500	0,134519	
17600	0,132233	
17600	0,132225	
17700,1	0,13002	
17700,1	0,130021	
17800,1	0,127884	
17900,1	0,125824	
17900,1	0,12585	
18000,1	0,123805	
18000,1	0,123816	
18100,2	0,12193	
18200,2	0,120074	
18200,2	0,120098	
18300	0,118279	
18300	0,118309	
18400	0,116529	
18500,1	0,114822	
18500,1	0,114829	
18600,1	0,11318	
18600,1	0,11319	
18700,1	0,111536	
18800,1	0,110041	
18800,2	0,110045	
18900,2	0,108503	
18900,2	0,108549	
19000	0,107068	
19100	0,105693	
19100	0,10569	
19200,1	0,104261	
19200,1	0,104297	
19300,1	0,102931	
19400,1	0,101652	
19400,1	0,101641	
19500,1	0,100339	
19500,1	0,100377	
19600,2	0,0991133	
19700,2	0,0978746	
19700,2	0,0978889	
19800	0,0967306	
19899,7	0,0955982	
19900	0,0955672	
20000,1	0,0944562	
20000,1	0,0944293	
20100,1	0,0933678	
20200,1	0,0923122	
20200,1	0,0922375	
20300,1	0,0912379	
20300,2	0,0912822	
20400,2	0,090214	
20500,2	0,0892191	
20500,2	0,0892269	
20600	0,0882613	
20600	0,0882661	
20700,1	0,0872979	
20800,1	0,0864017	
20800,1	0,0863635	
20900,1	0,0854697	
20900,1	0,0854912	
21000,1	0,084613	
21100,2	0,0837145	
21100,2	0,0837284	
21200,2	0,0828961	
21200,2	0,0828623	
21300,2	0,082079	
21400,1	0,0812568	
21400	0,0812572	
21500,1	0,0804679	
21500,1	0,0804364	
21600,1	0,0796873	
21700,1	0,0789087	
21700,1	0,0788977	
21800,1	0,0781403	
21800,2	0,0781617	
21900,2	0,0774314	
22000,2	0,0767017	
22000,2	0,0767387	
22100	0,0759692	
22100	0,0759883	
22200,1	0,0753148	
22300,1	0,0746444	
22300,1	0,0746227	
22400,1	0,0739592	
22400,1	0,0739442	
22500,1	0,0732955	
22600,2	0,0726657	
22600,2	0,0726554	
22700,2	0,0720094	
22700,2	0,0720671	
22800,2	0,0714421	
