Time - Plot 0	Amplitude - Plot 0	
2300	2,36834	
2400,04	2,36787	
2400,03	2,36812	
2500,06	2,36788	
2600,08	2,3676	
2600,07	2,36759	
2700,11	2,36723	
2700,11	2,36715	
2799,93	2,3672	
2899,96	2,3667	
2899,97	2,36659	
2999,99	2,36617	
3100,02	2,3661	
3100,01	2,36617	
3200,04	2,36583	
3200,04	2,36588	
3300,07	2,36554	
3400,1	2,36509	
3400,09	2,36511	
3499,94	2,36482	
3499,93	2,365	
3599,95	2,36463	
3699,98	2,36413	
3699,97	2,36405	
3800	2,36383	
3800	2,36372	
3900,02	2,3633	
4000,04	2,3631	
4000,05	2,36302	
4100,08	2,3625	
4100,07	2,36254	
4200,1	2,36192	
4299,93	2,36169	
4299,93	2,3614	
4399,97	2,36083	
4399,96	2,36115	
4499,99	2,36068	
4600,01	2,36009	
4600,03	2,36018	
4700,04	2,35946	
4700,04	2,3597	
4800,07	2,35912	
4900,09	2,35846	
4900,09	2,3587	
5000,12	2,35787	
5000,1	2,35775	
5099,94	2,35742	
5199,97	2,3566	
5199,97	2,35656	
5299,99	2,3562	
5300	2,35609	
5400,03	2,35544	
5500,05	2,35476	
5500,05	2,35499	
5600,08	2,35422	
5600,07	2,35392	
5700,1	2,35319	
5800,12	2,35245	
5800,12	2,35253	
5899,96	2,35167	
5899,96	2,3517	
5999,98	2,35073	
6100	2,34998	
6100,01	2,35001	
6200,05	2,34913	
6200,03	2,34915	
6300,05	2,34816	
6400,09	2,34729	
6400,09	2,34726	
6500,11	2,34623	
6500,1	2,34626	
6599,95	2,34513	
6699,97	2,34391	
6699,97	2,34405	
6800	2,34272	
6800	2,34266	
6900,01	2,34141	
7000,05	2,34047	
7000,04	2,34019	
7100,07	2,33889	
7100,07	2,33899	
7200,1	2,33741	
7300,12	2,33595	
7300,12	2,3359	
7399,96	2,33433	
7399,96	2,33431	
7499,98	2,33275	
7600,01	2,33085	
7600	2,33092	
7700,03	2,32893	
7700,04	2,32897	
7800,05	2,32718	
7900,08	2,32517	
7900,08	2,32515	
8000,12	2,32306	
8000,1	2,32286	
8100,13	2,32071	
8199,96	2,31825	
8199,97	2,31839	
8300	2,31587	
8299,99	2,31582	
8400,02	2,31319	
8500,04	2,31036	
8500,04	2,31021	
8600,07	2,30727	
8600,07	2,30731	
8700,08	2,30386	
8800,12	2,30049	
8800,12	2,30037	
8900,14	2,29683	
8900,14	2,29659	
8999,98	2,29262	
9100	2,28838	
9100	2,28857	
9200,03	2,28396	
9200,02	2,28405	
9300,05	2,27946	
