Time - Plot 0	Amplitude - Plot 0	
2300,01	2,08301	
2400,02	2,08209	
2500,06	2,08148	
2500,06	2,08152	
2600,08	2,08061	
2600,08	2,08097	
2700,1	2,08037	
2700,69	2,07988	
2799,95	2,07943	
2899,96	2,07857	
2899,97	2,07867	
2999,99	2,07787	
3100,01	2,07693	
3100,01	2,07681	
3200,03	2,07591	
3200,04	2,07603	
3300,07	2,07509	
3399,97	2,07406	
3400,09	2,07436	
3499,93	2,07313	
3499,93	2,07294	
3599,94	2,07227	
3699,98	2,07109	
3699,97	2,07116	
3800	2,07012	
3799,99	2,07001	
3900,04	2,06883	
4000,05	2,0677	
4000,06	2,06766	
4100,08	2,06635	
4100,08	2,06638	
4200,11	2,06519	
4299,94	2,06375	
4299,95	2,06383	
4399,96	2,06228	
4399,96	2,06231	
4499,99	2,06082	
4600,02	2,05934	
4600,01	2,05944	
4700,04	2,0578	
4700,04	2,05797	
4800,06	2,05626	
4870,47	2,04094	
4900,09	2,05449	
5000,11	2,05248	
5000,11	2,05278	
5099,95	2,05078	
5199,97	2,04897	
5199,97	2,04888	
5299,99	2,04685	
5300	2,04689	
5400,03	2,04475	
5500,05	2,04278	
5500,05	2,04259	
5600,07	2,04047	
5600,06	2,04028	
5700,1	2,03798	
5800,13	2,03561	
5800,12	2,03543	
5899,97	2,03298	
5899,96	2,03307	
5999,98	2,03036	
6100,01	2,02771	
6100,01	2,02757	
6200,04	2,02475	
6200,04	2,02481	
6300,06	2,02174	
6400,09	2,01856	
6400,09	2,01862	
6500,11	2,01522	
6500,11	2,01528	
6599,95	2,01188	
6699,97	2,00823	
6699,97	2,00837	
6800	2,0044	
6799,98	2,00448	
6900,02	2,00056	
7000,05	1,99643	
7000,03	1,99617	
7100,08	1,99202	
7100,08	1,99196	
7200,09	1,98762	
7300,12	1,98272	
7300,12	1,98286	
7399,95	1,9779	
7399,97	1,97778	
7499,98	1,97252	
7600	1,96707	
7600	1,96703	
7700,03	1,96128	
7700,03	1,9611	
7800,07	1,9552	
7900,08	1,94887	
7900,08	1,94892	
8000,1	1,94201	
8000,11	1,942	
8100,12	1,93503	
8199,98	1,92753	
8199,98	1,92755	
8299,99	1,9196	
8299,99	1,91966	
8400,03	1,91136	
8500,04	1,90254	
8500,04	1,90257	
