Time - Plot 0	Amplitude - Plot 0	
2400,03	2,23522	
2500,06	2,23486	
2500,05	2,23465	
2600,08	2,23444	
2600,08	2,23435	
2700,11	2,23369	
2799,94	2,23333	
2799,93	2,2334	
2899,97	2,23286	
2899,97	2,23282	
2999,99	2,23248	
3100,02	2,23188	
3100,02	2,23184	
3200,04	2,23103	
3200,03	2,23106	
3300,06	2,23054	
3400,09	2,23012	
3400,08	2,23	
3499,93	2,22927	
3499,93	2,22947	
3599,96	2,2286	
3699,97	2,22805	
3699,98	2,22804	
3800	2,22724	
3800	2,22735	
3900,03	2,22659	
4000,05	2,22553	
4000,05	2,22565	
4100,08	2,22497	
4100,08	2,22478	
4200,11	2,22416	
4299,93	2,22319	
4299,94	2,22326	
4399,96	2,22224	
4399,98	2,22236	
4499,99	2,22128	
4600,01	2,22048	
4600,02	2,22045	
4700,04	2,21938	
4700,03	2,21938	
4800,06	2,21814	
4900,09	2,2172	
4900,09	2,21704	
5000,11	2,21621	
5000,1	2,21619	
5099,95	2,21488	
5199,97	2,21383	
5199,98	2,21391	
5300	2,21247	
5300	2,21236	
5400,03	2,21117	
5500,05	2,20987	
5500,05	2,20987	
5600,07	2,20837	
5600,08	2,20846	
5700,1	2,20675	
5800,12	2,20523	
5800,11	2,20523	
5899,96	2,20344	
5999,99	2,2018	
5999,99	2,20193	
6100,01	2,2001	
6100,01	2,20013	
6200,03	2,19819	
6300,06	2,19628	
6300,06	2,19646	
6400,09	2,19447	
6400,08	2,19428	
6500,11	2,19226	
6599,95	2,1902	
6599,94	2,19003	
6699,97	2,18792	
6699,97	2,18796	
6799,99	2,1854	
6900,02	2,18299	
6900,03	2,18302	
7000,04	2,18021	
7000,04	2,18016	
7100,07	2,17751	
7200,09	2,17435	
7200,09	2,17437	
7300,12	2,17153	
7300,12	2,17135	
7399,95	2,16819	
7499,98	2,16497	
7499,98	2,16492	
7600	2,16149	
7600,01	2,16157	
7700,03	2,15791	
7800,05	2,15388	
7800,06	2,15388	
7900,08	2,14966	
7900,08	2,14971	
8000,1	2,145	
8100,14	2,14085	
8100,14	2,14082	
8199,96	2,13578	
8199,97	2,13573	
8300	2,13064	
8400,02	2,12513	
8400,02	2,12512	
8500,03	2,11951	
8500,04	2,1194	
8600,07	2,1132	
8700,1	2,10669	
8700,1	2,10663	
8800,11	2,09955	
8800,12	2,09948	
8900,13	2,09209	
8999,98	2,08428	
8999,98	2,0841	
9099,99	2,07576	
9099,99	2,07572	
9200,04	2,067	
9300,04	2,05723	
9300,06	2,0571	
9400,07	2,04699	
9400,09	2,04686	
9500,1	2,03591	
9600,13	2,02416	
9600,12	2,02401	
9699,96	2,01141	
9699,97	2,01121	
9800	1,9979	
9900,01	1,9833	
9900,02	1,98322	
10000	1,96762	
10000,1	1,96756	
10100,1	1,95075	
10200,1	1,93266	
10200,1	1,93243	
10300,1	1,91297	
10300,1	1,9127	
10400,1	1,89189	
10500	1,86963	
10500	1,86913	
10600	1,84498	
10600	1,84461	
10700	1,8189	
10800	1,79114	
10800	1,79053	
10900,1	1,76117	
10900,1	1,7605	
11000,1	1,72868	
11100,1	1,69568	
11100,1	1,69471	
11200,1	1,65947	
11200,1	1,65902	
11300	1,62187	
11400	1,58329	
11400	1,58268	
11500	1,54332	
11500	1,54256	
11600,1	1,50211	
11700,1	1,46213	
11700,1	1,4615	
11800,1	1,42248	
11800,1	1,4219	
11900,1	1,38449	
12000,2	1,35079	
12000,1	1,35014	
12100	1,32047	
12100	1,32017	
12200	1,29573	
12300,1	1,2778	
12300,1	1,27795	
12400,1	1,26763	
12454,7	1,25318	
12500,1	1,26495	
12600,1	1,27056	
12600,1	1,27056	
12700,1	1,28382	
12800	1,3037	
12800	1,30351	
12900	1,32964	
12900	1,32953	
13000	1,36046	
13100	1,39504	
13100,1	1,39468	
13200,1	1,43176	
13200,1	1,43135	
13300,1	1,47036	
13400,1	1,50953	
13400,1	1,50881	
13500,1	1,54836	
13500,2	1,54772	
13600	1,58643	
13700	1,62408	
13700	1,62327	
13800	1,65959	
13800	1,65906	
13900,1	1,69401	
14000,1	1,72713	
14000,1	1,72622	
14100,1	1,75798	
14100,1	1,75735	
14200,1	1,78715	
14300,2	1,81501	
14300,2	1,81451	
14400	1,84071	
14400	1,84012	
14500	1,86487	
14600	1,88768	
14600,1	1,88729	
14700,1	1,90908	
14700,1	1,90845	
14800,1	1,92872	
14900,1	1,94728	
14900,1	1,94696	
15000,2	1,96477	
15000,1	1,96453	
15100,2	1,98083	
15200	1,99605	
15200	1,99593	
15300	2,01027	
15300	2,01009	
15400,1	2,02353	
15500,1	2,03623	
15500,1	2,03582	
15600,1	2,04789	
15600,1	2,04763	
15700,1	2,0585	
15800,2	2,06893	
15800,2	2,06871	
15900	2,07842	
15903,8	2,07772	
16000	2,08729	
16100	2,09589	
16100,1	2,09574	
16200,1	2,10368	
16300,1	2,1111	
16300,1	2,11111	
16400,1	2,11833	
16400,1	2,11808	
16500,1	2,12491	
16600,2	2,13113	
16600,2	2,13112	
16700	2,13699	
16700	2,13709	
16800	2,14243	
16900,1	2,1478	
16900,1	2,14761	
17000,1	2,15273	
17000,1	2,15257	
17100,1	2,15732	
17200,1	2,1616	
17200,1	2,16183	
17300,2	2,16598	
17300,2	2,16604	
17400,2	2,16991	
17500	2,17383	
17500	2,17373	
17600	2,17733	
17600,1	2,17744	
17700,1	2,18076	
17800,1	2,18408	
17800,1	2,1841	
17900,1	2,18715	
17900,1	2,18693	
18000,1	2,18991	
18100,2	2,19282	
18100,2	2,19283	
18200,2	2,19556	
18200,2	2,19545	
18300	2,1979	
18400,1	2,20044	
18400,1	2,20035	
18500,1	2,20276	
18500,1	2,20252	
18600,1	2,2048	
18700,1	2,2071	
18700,1	2,20699	
18800,1	2,20886	
18800,2	2,20906	
18900,2	2,21079	
19000	2,2127	
19000	2,21275	
19100	2,21433	
19100	2,21437	
19200,1	2,21607	
19300,1	2,21764	
19300,1	2,21775	
19400,1	2,21922	
19400,1	2,21926	
19500,1	2,22085	
19600,2	2,22209	
19600,2	2,2223	
19700,2	2,22384	
19700,2	2,22347	
19800	2,22495	
19900,1	2,22623	
19900,1	2,22608	
20000,1	2,2276	
20000,1	2,22757	
20100,1	2,2284	
20200,1	2,2298	
20200,1	2,2298	
20300,1	2,23087	
20300,2	2,23076	
20400,2	2,23179	
20500,2	2,23278	
20500,2	2,23293	
20600	2,23391	
20600	2,2339	
20700,1	2,23473	
20800,1	2,23562	
20800,1	2,23551	
20900,1	2,23651	
21000,1	2,23739	
21000,1	2,2373	
21100,2	2,23816	
21100,2	2,23827	
21200,2	2,23891	
21300,2	2,23965	
21300,2	2,23976	
21400	2,24029	
21400,1	2,24031	
21500,1	2,24108	
21600,1	2,2417	
21600,1	2,24206	
21700,1	2,2424	
21700,1	2,24263	
21800,1	2,24324	
21900,2	2,2437	
21900,2	2,24399	
22000,2	2,24452	
22000,2	2,2446	
22100	2,24527	
22200	2,24562	
22200	2,24563	
22300,1	2,24622	
22300,1	2,24618	
22400,1	2,24679	
22500,1	2,24717	
22500,1	2,24709	
22600,1	2,24765	
22600,2	2,24759	
22700,2	2,24802	
